SoC,R0
1,0.022266555113861
0.98,0.0231584330569202
0.96,0.0230372713432432
0.94,0.022919478644682
0.92,0.0227671927635985
0.9,0.0224026715692471
0.84,0.0225861794535827
0.8,0.0235929991555207
0.76,0.0232855382932901
0.72,0.0224086334444877
0.68,0.0225752546541853
0.64,0.0232014615316257
0.6,0.0226856095402842
0.56,0.022502986287679
0.52,0.0228698254067172
0.48,0.023248449105898
0.44,0.0233830832202173
0.4,0.0234148378444748
0.36,0.0235004470372723
0.32,0.0232485529094069
0.28,0.0232560084827259
0.24,0.023385815060992
0.2,0.0240444031467331
0.18,0.0243419802944128
0.16,0.0246786445004436
0.14,0.0250374814935338
0.12,0.0254702990076145
0.1,0.0259610969302429
0.088,0.0261479635179594
0.074,0.0266320666815898
0.06,0.0267718300752326
0.04,0.0287640204756769
