SoC,R0
1,0.0228410508756125
0.98,0.0237694279701466
0.96,0.0235691074900126
0.94,0.0233555691309103
0.92,0.0232733556894939
0.9,0.0227267823700397
0.84,0.0229709508004732
0.8,0.024246577993471
0.76,0.0238727629020118
0.72,0.0224086335806498
0.68,0.0228328622787768
0.64,0.0236092322772837
0.6,0.0232558097619019
0.56,0.0230435388271863
0.52,0.0228701589810879
0.48,0.0238063161898153
0.44,0.023383083288405
0.4,0.0234148395582524
0.36,0.0237245207786981
0.32,0.0234589261888907
0.28,0.0238092223674617
0.24,0.0236708578375315
0.2,0.0240444047853257
0.18,0.0251000151535764
0.16,0.0255492327210952
0.14,0.0261783059155314
0.12,0.0269768655564533
0.1,0.0280104015144228
0.088,0.0285607797902647
0.074,0.0298564103688975
0.06,0.0302308036823148
0.04,0.0345885697957965
