SoC,OCV
1,4.1812344
0.98,4.1379097684326
0.96,4.11378233513656
0.94,4.09969792849235
0.92,4.09064093875275
0.9,4.08369753388735
0.84,4.04847843921144
0.8,4.00622235983272
0.76,3.96280351739747
0.72,3.92616755723771
0.68,3.88737609434537
0.64,3.84863058286476
0.6,3.79327240585299
0.56,3.75015412808945
0.52,3.71179314718732
0.48,3.67909542725969
0.44,3.65170706505751
0.4,3.62783330794676
0.36,3.60411092991753
0.32,3.56301914758596
0.28,3.51354941429518
0.24,3.47504222498328
0.2,3.44810044704578
0.18,3.41692703196245
0.16,3.37505662125854
0.14,3.3263894968934
0.12,3.26839465141586
0.1,3.20665349358574
0.088,3.17145225549043
0.074,3.12865842221136
0.06,3.07264852396468
0.04,2.97801566792763
