SoC,R1,R2,R3
1,0.00662297140582715,0.0105363427706068,0.0228275623569465
0.98,0.00373189450572015,0.0107818113997254,0.021451067754895
0.96,0.00403942634465626,0.00986879957148821,0.0188169664559373
0.94,0.00401226982987822,0.00990416762628214,0.0175053097909071
0.92,0.00397795012185386,0.0105950826923971,0.0191025738352168
0.9,0.00428886888104434,0.0110876179194455,0.0141321198048351
0.84,0.00454004147344583,0.0112113534366583,0.0179720464212965
0.8,0.00265376910362285,0.0116741781099066,0.0520921208711897
0.76,0.0037611481569186,0.0096531489585583,0.0523057788640927
0.72,0.00660542341590205,0.00493281175028517,0.0358985236810604
0.68,0.00948067097366069,0.00657752832892284,0.0117036697164752
0.64,0.00269282015567694,0.00945414883588276,0.0417028511350748
0.6,0.00382865949673448,0.00743927616672723,0.0213714040122071
0.56,0.0035236530057877,0.00988770002266885,0.0175031200056682
0.52,0.00300556809653904,0.0113342785173314,0.0127549476890928
0.48,0.00240874232850715,0.0136632452041531,0.0126426640590335
0.44,0.00155848453615756,0.0120561579237174,0.0305883838868936
0.4,0.00187949331345773,0.0107430517493076,0.0321125777404802
0.36,0.00202219286836347,0.0097567531182956,0.0364046031012428
0.32,0.00320032858967502,0.0110225942680806,0.0212524107725839
0.28,0.00262001686585242,0.0075998389539422,0.033731834060264
0.24,0.00447024044631185,0.0118646768139497,0.0117259358750431
0.2,0.00260974874485249,0.0215611674214476,0.0149907206953349
0.18,0.00139191296831489,0.0270938195333557,0.0001
0.16,0.00142890740000165,0.031102224747325,0.0001
0.14,0.00258427475750527,0.0337930023042473,0.0001
0.12,0.00534680548326045,0.0386255524498905,0.0001
0.1,0.0128536029690163,0.0488197811127261,0.0001
0.088,0.0219564257238942,0.059347128055776,0.0001
0.074,0.0314929211363084,0.0698769791098354,0.0001
0.06,0.039651684322473,0.0675611525151821,0.0001
0.04,0.0415152464015838,0.079110420577627,0.0001
