SoC,OCV
1,4.18701727777778
0.98,4.14071611329076
0.96,4.11571767698825
0.94,4.10163423539949
0.92,4.09274747867705
0.9,4.08603988261247
0.84,4.05204149543474
0.8,4.00932064709531
0.76,3.96565165939902
0.72,3.92905477413649
0.68,3.89565336377701
0.64,3.85273163010372
0.6,3.80096755365932
0.56,3.75976597677018
0.52,3.72054479341631
0.48,3.68572896132759
0.44,3.656788822412
0.4,3.62169611764598
0.36,3.58633794587653
0.32,3.5486388497218
0.28,3.50345648377155
0.24,3.4704626254607
0.2,3.43780458819533
0.18,3.39946801950183
0.16,3.35730724929502
0.14,3.31004996503795
0.12,3.25685280583417
0.1,3.20264953903243
0.088,3.17139126971613
0.074,3.13310334709798
0.06,3.08732646102396
0.04,2.99350326305532
