SoC,R1,R2,R3
1,0.00425366198232112,0.00505194644141122,0.002530783770211
0.98,0.00318583302910563,0.00411504987730089,0.00533190972291542
0.96,0.00309642487339157,0.00400896286131038,0.00551307007318848
0.94,0.00322972050389928,0.00410313269401133,0.00560639707518505
0.92,0.00353446195434617,0.00428450764046482,0.00640031401146311
0.9,0.00401450802167796,0.00586542107244135,0.00125216006580119
0.84,0.0035751841870238,0.0078848723510111,0.00462914743522796
0.8,0.00218862338885182,0.0108330351433186,0.00798483352816549
0.76,0.00239306601736577,0.00923899894114966,0.0143781073164126
0.72,0.0049484774981389,0.0030241133429774,0.021573404601472
0.68,0.00415166738726327,0.00657752830708425,0.0117036697038284
0.64,0.00247154910043764,0.00472243751242265,0.0243116108559582
0.6,0.0029656621801501,0.00511308138331927,0.00311201437859361
0.56,0.00330395907317996,0.00712345346884564,0.00379958639763364
0.52,0.00300410639900358,0.00798427189655012,0.00649071696331813
0.48,0.00205596785931662,0.00914429822466924,0.00979065694668182
0.44,0.00155848221199587,0.00825398420506251,0.0167617087601903
0.4,0.00187949286285519,0.00756663727273805,0.00882592608601535
0.36,0.00202219263485986,0.00852218611706187,0.00701286141557466
0.32,0.0026188084110438,0.00866591800107817,0.00778263241101496
0.28,0.00257273835939234,0.00561751432016903,0.0135227136004298
0.24,0.00447024010109929,0.00645823127261589,0.00667943210489104
0.2,0.00260974846706396,0.0142250179173818,0.00444728363137695
0.18,0.00139188702523783,0.0185757950294567,0.0001
0.16,0.00136618302921033,0.0206346230577545,0.0001
0.14,0.00118896083655422,0.0225582492004898,0.0001
0.12,0.00133992271880714,0.0247323393257415,0.0001
0.1,0.00183561014364833,0.0279737151564118,0.0001
0.088,0.00215415577433577,0.030376271075302,0.0001
0.074,0.00223385948851633,0.0334646884296568,0.0001
0.06,0.00244542402465543,0.0362971550526479,0.0001
0.04,0.00196164497013471,0.0433113929213926,0.0001
