SoC,R1,R2,R3
1,477.735608110042,6491.34417148234,138353.336582492
0.98,627.315109259239,6959.36982913551,65669.2349564765
0.96,646.213137340889,7074.57489520488,58335.816090499
0.94,618.729547326729,6936.73511101985,56716.3128983838
0.92,558.877872846071,6277.79333713234,49394.2849287645
0.9,525.226009552353,5277.74305578547,278680.136443184
0.84,589.766549643311,4440.73393399974,51913.7137398948
0.8,963.401942919797,3003.54209551426,21157.2899478628
0.76,881.09241281003,3627.27579726448,16582.6841734677
0.72,426.095510504736,11578.4748406157,16230.2841709575
0.68,507.873602216335,5323.37051876406,29917.3247452854
0.64,783.017069739778,7414.52267596238,14402.2742531236
0.6,710.963018818644,6063.53118353414,78530.5888293347
0.56,638.180969915054,4452.42731993141,42001.0524517943
0.52,701.880574886414,4375.13727581008,53945.1165842333
0.48,875.376924952117,3829.12053213661,35762.9205848764
0.44,1352.9342897412,3790.74532002079,20889.4267195876
0.4,1121.8579655052,4043.95317770372,19587.7861404382
0.36,1042.69197799416,3588.75745017595,31258.323612655
0.32,805.146296357776,3872.83593759374,44990.2378953957
0.28,819.564072949163,6106.4222654277,20714.8226242746
0.24,471.680258539508,4211.61541862864,52420.9958369804
0.2,807.941477074428,2378.79213626341,78731.7455308417
0.18,1514.84068734576,1686.28374960084,0.0001
0.16,1475.75238350003,1546.3673592632,0.0001
0.14,1447.01287472802,1430.87485320171,0.0001
0.12,1231.09865353195,1294.98312144249,0.0001
0.1,907.903476823338,1123.73054422327,0.0001
0.088,789.335098745164,1024.44488685667,0.0001
0.074,784.179521922486,923.454117148685,0.0001
0.06,719.815495232511,842.361980062691,0.0001
0.04,664.401633915939,695.750738018632,0.0001
