SoC,R1,R2,R3
1,440.430624877362,4676.31020491841,75288.1910393403
0.98,574.379559782622,5437.94615062117,43788.1090377356
0.96,584.738146974447,5673.38749247722,43316.1296173164
0.94,558.658677767272,5578.04002063825,43905.1271461281
0.92,531.974478958442,5078.06295324372,39555.5881730978
0.9,492.567813456019,4380.68187728843,82683.7357479641
0.84,562.971218968166,3830.73026859123,34216.8931596249
0.8,963.401223970489,2999.32212370678,13527.0953169659
0.76,810.693814338058,3627.274514164,11636.2154309683
0.72,360.333199252712,11578.4746194074,13716.6157696629
0.68,347.008188533739,5323.37051572048,29917.3247384241
0.64,783.017058182633,5602.20545916528,11354.775028434
0.6,686.279773400372,5662.07726536554,41776.0064145054
0.56,636.039819633705,4360.00984620914,32766.6656990807
0.52,701.879175062372,3675.21923507821,47154.5112289318
0.48,875.376163186409,3116.37745644521,35762.9203084844
0.44,1352.93426211558,3029.89509974744,19780.5263170951
0.4,1121.85790801666,3259.28062883961,16964.5194906956
0.36,1042.69194462682,3588.75743943224,17013.3032345611
0.32,805.146012615195,3357.17808909832,28657.3852000773
0.28,819.563798066484,5593.53755633596,15533.761898327
0.24,471.680250475223,3809.61454355838,52420.9925378091
0.2,807.94145769766,1876.78079127556,71642.6237976014
0.18,1514.83964272417,1570.42120020116,0.0001
0.16,1475.68883186363,1414.94516597743,0.0001
0.14,1293.90348179324,1336.59777147261,0.0001
0.12,1071.66216632356,1220.55506973504,0.0001
0.1,791.359474261596,1052.77790389366,0.0001
0.088,660.678815305029,950.94386514762,0.0001
0.074,603.423188308335,841.101887454525,0.0001
0.06,491.180683251784,755.46985810126,0.0001
0.04,413.576539340154,632.717920354591,0.0001
