SoC,OCV
1,4.18662248888889
0.98,4.14005638347234
0.96,4.11508206839465
0.94,4.10094121617222
0.92,4.09188128037353
0.9,4.08507306059132
0.84,4.05036855800064
0.8,4.00714020276549
0.76,3.96299669440429
0.72,3.9266997621241
0.68,3.88910069562954
0.64,3.84266114544631
0.6,3.79138510929759
0.56,3.75009211732146
0.52,3.71117763032884
0.48,3.67798553646411
0.44,3.64988960868532
0.4,3.62358323891159
0.36,3.59268118995914
0.32,3.54771149411733
0.28,3.49969293290183
0.24,3.46676860606172
0.2,3.4361321277943
0.18,3.39302348658362
0.16,3.34331980432416
0.14,3.28612711778746
0.12,3.22402472845818
0.1,3.16673906544556
0.088,3.1293720403296
0.074,3.07315814749452
0.06,2.98891691970713
0.04,2.81467214186657
