SoC,OCV
1,4.17834135555556
0.98,4.13675281286584
0.96,4.1138641941617
0.94,4.10040450278153
0.92,4.09159392558064
0.9,4.08453379297937
0.84,4.04706273538053
0.8,4.00377055407441
0.76,3.96063309497284
0.72,3.92512744443702
0.68,3.88990738244728
0.64,3.84858986406616
0.6,3.79369370070688
0.56,3.75191162575755
0.52,3.71386476404558
0.48,3.68120946695041
0.44,3.65336066481435
0.4,3.62704703573981
0.36,3.59596804617335
0.32,3.55527166691177
0.28,3.50829115121241
0.24,3.4723563048058
0.2,3.44527866113506
0.18,3.41109845420407
0.16,3.3679345745283
0.14,3.31956921716137
0.12,3.26290704209355
0.1,3.20442342809339
0.088,3.17124533516959
0.074,3.132159711141
0.06,3.08686153077156
0.04,2.99516013842161
