SoC,R1,R2,R3
1,0.00662295298953697,0.00919844153999303,0.00465071209080684
0.98,0.00373189350346313,0.00810692029054179,0.00962201792509856
0.96,0.00403942438896332,0.00759679100386705,0.0107926433328313
0.94,0.00401226797290755,0.00783401032898804,0.0100053161005116
0.92,0.00397794516283409,0.00837102232116406,0.0107287112044462
0.9,0.00428819739009341,0.00940831388351456,0.00696939280242341
0.84,0.00396182446771787,0.00975663201360782,0.0132737223828171
0.8,0.00248659894262233,0.0116741780821881,0.0352161858619908
0.76,0.00315259920720398,0.00965314890893316,0.0381185392627881
0.72,0.00586217605939821,0.00385728932425221,0.0293635922303043
0.68,0.00796636362852593,0.00657752831951091,0.0117036697118833
0.64,0.00269282009930402,0.00625014926911351,0.0308365851973819
0.6,0.00346472188775547,0.00735433015073937,0.00838142583433776
0.56,0.00331801560959479,0.00882382585321437,0.0154684039899074
0.52,0.00300411631651999,0.0101055325555871,0.0111643612690557
0.48,0.00240870686946641,0.0132631688849569,0.00979065720337586
0.44,0.0015584824025672,0.0120561578420868,0.0258563128756778
0.4,0.00187949303972483,0.0107430517291509,0.0271937491563549
0.36,0.00202219275982592,0.00975675311062044,0.0265069955784718
0.32,0.00313953114068712,0.0105402657014116,0.0126936424252698
0.28,0.00262001599481499,0.00689301758635827,0.0228726129054961
0.24,0.00447024039742399,0.0118646767373099,0.0117257357166795
0.2,0.00260974860967434,0.0186567451777907,0.0149907205708519
0.18,0.00139191274088027,0.0254747412786282,0.0001
0.16,0.00142890611850876,0.0278826062121909,0.0001
0.14,0.00258186759235896,0.0296886065381312,0.0001
0.12,0.00402069245873768,0.034230311762511,0.0001
0.1,0.00677911999131723,0.0419380826110102,0.0001
0.088,0.0094238424822694,0.0472391677452141,0.0001
0.074,0.0135796466209954,0.0564094304497916,0.0001
0.06,0.0185978406960108,0.0625994679877603,0.0001
0.04,0.015315343941463,0.0791104204925877,0.0001
