SoC,R0
1,0.00568360696393627
0.99,0.00568360696393627
0.98,0.00635815479724558
0.97,0.0059454299860968
0.96,0.00686605591154188
0.95,0.00644913595424929
0.94,0.00660123946429462
0.93,0.00652985805319835
0.92,0.00657989065395695
0.91,0.00628372528365763
0.86,0.00674885462100558
0.809999999999999,0.00734413336955367
0.76,0.00709825162041433
0.71,0.00648208540718644
0.66,0.00640657483315081
0.61,0.00651805762930911
0.56,0.00674839734171884
0.51,0.00730964173413273
0.46,0.00759960886819062
0.41,0.00591913931797044
0.36,0.00634252891501074
0.31,0.00806196662273509
0.26,0.0105065695370009
0.209999999999999,0.0107583775010311
0.16,0.0113072663374078
0.15,0.0117108580151764
0.139999999999999,0.0101500114836951
0.13,0.0126894230046411
0.12,0.0120315556198486
0.109999999999999,0.0127090933434022
0.0999999999999999,0.0133388248099793
0.09,0.0139821162677903
0.0799999999999999,0.0144941960708648
0.0699999999999999,0.0153350098662308
0.06,0.0160454187651725
0.0499999999999999,0.0182744244815056
0.0399999999999999,0.0199582569570756
0.03,0.021961386929188
0.0199999999999999,0.021961386929188
0.00999999999999998,0.021961386929188
0,0.021961386929188
