SoC,C1,C2,C3
1,6248.79673023392,30934.9857740101,213143.188203494
0.99,6248.79673023392,30934.9857740101,213143.188203494
0.98,6593.82272872299,30505.1286962445,164790.071359612
0.97,8792.61094787996,33485.8725471939,185555.543285313
0.96,8806.41677989922,33143.4629727945,211073.085509331
0.95,8869.46348327253,35719.1012152538,213214.837975269
0.94,8088.51611430335,30588.6936785013,365384.168025844
0.93,7758.25128461037,30085.8321292351,255674.810126771
0.92,8130.34773034394,32466.4693772903,231739.311854151
0.91,7599.31507271589,31846.5585425236,366319.889975023
0.86,10118.9393886174,48316.5332792833,420645.193450911
0.809999999999999,21704.3311463774,56865.8531553433,247844.840561519
0.76,21075.9189864369,126374.026149367,428787.381714322
0.71,19343.5466985684,156970.999651529,589823.895923881
0.66,19258.2876844271,231313.887963822,685420.147240271
0.61,18886.2126288637,216347.175503331,725738.351447668
0.56,20355.1474631853,153275.942906302,591958.145936062
0.51,21941.5439300563,66369.4341157045,405272.784825443
0.46,20664.1917945533,48795.5617454399,200127.144925793
0.41,20126.8733161043,52994.1098264212,224642.377486932
0.36,20054.032653107,61094.8653978319,270296.207682217
0.31,20962.2509674985,64226.3524446286,395593.451362736
0.26,10828.4441263764,51179.9982226368,525504.837627972
0.209999999999999,7045.59380874436,45841.01670266,459937.452099919
0.16,6229.36699751579,73646.8390976125,706520.588824435
0.15,4613.92957818491,30492.6483158724,390735.124844049
0.139999999999999,4255.6737472218,28315.6559372394,332530.192195313
0.13,4159.51681603135,24365.5053463452,240601.172284626
0.12,4303.05554695111,21254.7736392549,238131.585243093
0.109999999999999,4260.50017331222,21814.4788597488,301119.511883599
0.0999999999999999,4346.36279491806,31954.5804334101,390672.35046039
0.09,4244.19476969343,32191.5578449699,297499.113850742
0.0799999999999999,4308.69766892319,32974.1328636238,284835.433955966
0.0699999999999999,3909.26891009816,30074.2888480953,246703.383032313
0.06,3548.35912466814,25861.8167399714,233586.436487368
0.0499999999999999,2947.28307478869,19902.9840746415,192171.545232576
0.0399999999999999,2947.28307478869,19902.9840746415,192171.545232576
0.03,2947.28307478869,19902.9840746415,192171.545232576
0.0199999999999999,2947.28307478869,19902.9840746415,192171.545232576
0.00999999999999998,2947.28307478869,19902.9840746415,192171.545232576
0,2947.28307478869,19902.9840746415,192171.545232576
