SoC,C1,C2,C3
1,6918.59180580206,35851.7614921704,346153.752171619
0.99,6918.59180580206,35851.7614921704,346153.752171619
0.98,7885.96919878092,33282.7055244331,176192.738761706
0.97,13983.0744874106,44658.1007311367,237747.144078786
0.96,12736.5060877282,35998.6026639126,283612.397566173
0.95,11797.7200597758,37847.8838010362,268746.282872473
0.94,11073.979325396,39802.4922524081,312322.535591364
0.93,12826.7625074415,41766.0232867941,332889.18747608
0.92,11878.9739621368,38528.4639156773,423532.716341157
0.91,11276.9331731748,42748.1591090598,437893.844264133
0.86,12227.7942658455,93291.8895342028,977421.200281326
0.809999999999999,24304.9806167535,75747.4059839114,508620.950536198
0.76,31605.9984402679,153582.609630471,499203.895715735
0.71,23959.7048145618,170944.89423747,791044.269818782
0.66,24341.9411230538,227304.26025313,930172.887363033
0.61,22647.2528368308,275992.102977122,980630.256019779
0.56,19225.6988562447,121505.56980743,881635.153627413
0.51,23689.6155244437,120347.661973172,700216.041742167
0.46,34112.8851127739,64489.5615990245,453555.323802393
0.41,36832.6861131614,60009.0533694435,291827.552927921
0.36,22900.5467067947,52490.823267486,380934.177799065
0.31,25007.7359527794,56950.8362310791,264939.483154758
0.26,33599.8057530342,112275.372685659,419900.794300996
0.209999999999999,29710.9428896137,165167.192372231,1060479.82039223
0.16,20146.6146328858,109295.92743486,1509158.85088964
0.15,10083.8485602092,60821.2416478882,1095262.45549233
0.139999999999999,7684.72636138472,50792.1750945282,851909.799137207
0.13,7825.42188428721,51386.8723603216,969671.131085771
0.12,7059.7323363051,43294.4116989479,695254.054728908
0.109999999999999,6999.79202202201,37415.2724667114,692079.294447925
0.0999999999999999,7475.27750571284,35309.3299217709,808451.0919984
0.09,6766.6855584796,44943.2386451666,630927.57462661
0.0799999999999999,7849.66590475709,53431.893452086,468376.570209319
0.0699999999999999,6574.66030976865,42234.4193307688,544373.841690096
0.06,6340.00007346862,39438.2702437262,407342.818171067
0.0499999999999999,6051.81720196643,34372.2445018268,335581.844499844
0.0399999999999999,5221.52289094492,26886.662422472,292662.511393697
0.03,7649.60418557485,20474.0575277849,238467.325405581
0.0199999999999999,3813.81382680289,16820.5835002617,190671.729794192
0.00999999999999998,3813.81382680289,16820.5835002617,190671.729794192
0,3813.81382680289,16820.5835002617,190671.729794192
