SoC,C1,C2,C3
1,7789.75699259561,35223.585813712,35223.585813712
0.99,7789.75699259561,35223.585813712,35223.585813712
0.98,10846.5788327295,45491.14766345,45491.14766345
0.97,18659.4957467477,53175.821956743,53175.821956743
0.96,17209.2500895385,44985.5816639205,44985.5816639205
0.95,18917.9512947614,39564.7894611226,39564.7894611226
0.94,15602.0357058439,51718.1534031953,51718.1534031953
0.93,18150.2617917745,46278.5943652914,46278.5943652914
0.92,15817.4476404084,47733.5268082946,47733.5268082946
0.91,15908.103261609,52928.0648931862,52928.0648931862
0.86,15285.1400227827,110613.075072146,110613.075072146
0.809999999999999,37720.285443109,115099.617202694,115099.617202694
0.76,35401.6088970582,210618.611020252,210618.611020252
0.71,31029.1629303897,231034.977063795,231034.977063795
0.66,33980.2960787014,252024.549746268,252024.549746268
0.61,28861.2750413541,284870.432441726,284870.432441726
0.56,34093.3267518474,216395.897162005,216395.897162005
0.51,37992.2859913193,160077.203907602,160077.203907602
0.46,49717.9854773045,82880.4783573019,82880.4783573019
0.41,39369.0518596245,72864.4206398088,72864.4206398088
0.36,34544.0433191957,81890.341496427,81890.341496427
0.31,44905.3328134583,77669.6448156557,77669.6448156557
0.26,53567.2787141596,100945.916624489,100945.916624489
0.209999999999999,53707.9559425841,422812.223527274,422812.223527274
0.16,47675.1438699381,411759.995130328,411759.995130328
0.15,27689.0241432967,160788.672727836,160788.672727836
0.139999999999999,15662.3077993503,79138.2231333294,79138.2231333294
0.13,15761.6393371613,91843.3347173289,91843.3347173289
0.12,16808.2706843511,71267.8860051265,71267.8860051265
0.109999999999999,19582.8546420854,114906.574171874,114906.574171874
0.0999999999999999,31388.3691429363,107954.561998201,107954.561998201
0.09,20632.3957435486,105470.035186044,105470.035186044
0.0799999999999999,15517.0155933515,86264.73682921,86264.73682921
0.0699999999999999,13331.1199096805,52908.4000827879,52908.4000827879
0.06,14480.1087393611,42204.3907692643,42204.3907692643
0.0499999999999999,13336.1218774634,41140.3245308817,41140.3245308817
0.0399999999999999,18508.309177319,31888.9142673799,31888.9142673799
0.03,11081.9483438225,15196.9367071706,15196.9367071706
0.0199999999999999,11081.9483438225,15196.9367071706,15196.9367071706
0.00999999999999998,11081.9483438225,15196.9367071706,15196.9367071706
0,11081.9483438225,15196.9367071706,15196.9367071706
