SoC,R0
1,0.00869754843022971
0.99,0.00869754843022971
0.98,0.00948922489386947
0.97,0.0091788658123163
0.96,0.0106546249200014
0.95,0.00942344392259151
0.94,0.010094752511695
0.93,0.0100578550829323
0.92,0.0100188437086902
0.91,0.00986457326530393
0.86,0.00957114313350446
0.809999999999999,0.0113557563400581
0.76,0.0109398542745763
0.71,0.0103576151108351
0.66,0.00977382926576489
0.61,0.0105442608281659
0.56,0.0089998420058994
0.51,0.011501887775121
0.46,0.0118605218511962
0.41,0.0125739730704462
0.36,0.0100032807360159
0.31,0.0150102591226619
0.26,0.0168213198192
0.209999999999999,0.0173416022171768
0.16,0.0177742756514256
0.15,0.0157278139219624
0.139999999999999,0.0191622332354766
0.13,0.019482373806868
0.12,0.0199404915394286
0.109999999999999,0.0206379110370369
0.0999999999999999,0.019784207066965
0.09,0.021943411139123
0.0799999999999999,0.0219363104633937
0.0699999999999999,0.0228984465476167
0.06,0.0233244577932836
0.0499999999999999,0.0239909342667455
0.0399999999999999,0.0247806412960646
0.03,0.0259562302799784
0.0199999999999999,0.0267620537030969
0.00999999999999998,0.0267620537030969
0,0.0267620537030969
