SoC,R1,R2,R3
1,0.00137631053257972,0.000971348472017299,0.00299997667439445
0.99,0.00137631053257972,0.000971348472017299,0.00299997667439445
0.98,0.00153360365751559,0.00197398768100001,0.0015608666868923
0.97,0.00130358582497466,0.00190175639963071,0.00302398147738807
0.96,0.00164259028852295,0.00280762782370275,0.00226305373452868
0.95,0.00159848911045759,0.00267963884100691,0.00248182815515429
0.94,0.00176765056699335,0.00305587850484162,0.00264750968765466
0.93,0.00170921675966014,0.00282298025931234,0.00310682330920134
0.92,0.00177120790845481,0.002819467814016,0.0032141066437603
0.91,0.00171274079177844,0.00277125588798806,0.00339255647991363
0.86,0.00220546259846725,0.00178203924962994,0.00209248575397891
0.809999999999999,0.00237575219670083,0.00327117051322339,0.00348645053988818
0.76,0.00162014529106362,0.00184126548483918,0.00221709046512001
0.71,0.00138129723705406,0.00121218160307687,0.00126325120172653
0.66,0.00142059409422054,0.0013093193257139,0.0012314605305357
0.61,0.00163311496338266,0.00131608122374151,0.00140082106512624
0.56,0.00175360194375769,0.00158455439491983,0.00146355506668235
0.51,0.00202540578857101,0.00220998205088647,0.00203254139093927
0.46,0.00226932772698593,0.00357178344581818,0.00301604632894911
0.41,0.00161003060468449,0.00311531597501021,0.00425220674485333
0.36,0.00137377559615969,0.00249206726142119,0.00541448905398289
0.31,0.0017875327749579,0.00528412706148889,0.00684270954994666
0.26,0.00220069519285783,0.00531364940675337,0.007070237457389
0.209999999999999,0.00205731194753764,0.00203088609269508,0.0129717024155162
0.16,0.00169252468336024,0.00160429899916851,0.00885901229304912
0.15,0.00198690841432795,0.00322542507468204,0.0451635779883984
0.139999999999999,0.00171514130069748,0.00305130311892209,0.0464451564313122
0.13,0.00208105945647976,0.00329385537968529,0.0237950717110682
0.12,0.00213482632923479,0.00411384073033773,0.0400552362612421
0.109999999999999,0.00212954108274988,0.00500870615690449,0.0913331112848402
0.0999999999999999,0.00197758298242324,0.00678561357395975,0.0729265270091363
0.09,0.00193915384029989,0.00553501441950775,0.0385071039378191
0.0799999999999999,0.00189979841771147,0.00497496362741066,0.0265836696223927
0.0699999999999999,0.00190493135641714,0.00557723608782217,0.0194219916891357
0.06,0.00200849787950425,0.00692701614217911,0.0293711190935202
0.0499999999999999,0.00256388929814791,0.00904922901573196,0.0375132078543776
0.0399999999999999,0.00669871552189919,0.0196990774777752,0.102188298928971
0.03,0.00960184969707116,0.0566030152277724,0.638823279906385
0.0199999999999999,0.00960184969707116,0.0566030152277724,0.638823279906385
0.00999999999999998,0.00960184969707116,0.0566030152277724,0.638823279906385
0,0.00960184969707116,0.0566030152277724,0.638823279906385
