SoC,R0
1,0.0289618860367083
0.98,0.030207098534118
0.96,0.02929004927486
0.94,0.0288659600782149
0.92,0.0286962545962416
0.9,0.0277575408318609
0.84,0.0271235032655007
0.8,0.029047339746786
0.76,0.0281112558630649
0.72,0.0256202172645828
0.68,0.0271570701996982
0.64,0.0278875542948636
0.6,0.0278325542714658
0.56,0.0276964003364748
0.52,0.0273260033917665
0.48,0.0289543372838031
0.44,0.0279263639890757
0.4,0.0286820494241369
0.36,0.0281707278159992
0.32,0.0275887814389288
0.28,0.0290630380026742
0.24,0.0284108421986804
0.2,0.029618433066839
0.18,0.0313822574274249
0.16,0.0329502895875217
0.14,0.0350679609524599
0.12,0.0378008675946522
0.1,0.0409050777854514
0.088,0.0400400892414112
0.074,0.041346543975759
0.06,0.0411116930403745
0.04,0.0475393207067084
