SoC,R1,R2,R3
1,0.00441357941926185,0.00539404772907248,0.00253078455455354
0.98,0.00336118804836833,0.00503129179027431,0.00533191055942683
0.96,0.00326289257516401,0.00494936032277289,0.00600218717692621
0.94,0.00340782827798199,0.0050477090052332,0.00617357633810319
0.92,0.00377278140761849,0.00557753631036327,0.00708872469353261
0.9,0.00401450805835017,0.00663439275400668,0.00125643144776235
0.84,0.00357518419632015,0.00788487236731942,0.00674470119876706
0.8,0.00218862341237624,0.0116577757771752,0.0165494960912652
0.76,0.00239307933781702,0.00965314529245848,0.0211149463881213
0.72,0.00494847750286163,0.00302411334556653,0.0215734046062153
0.68,0.00415167088543592,0.00657752830906491,0.0117036697055975
0.64,0.00269282002818119,0.00472243754818208,0.024311610870622
0.6,0.00296572956960069,0.00577462525168443,0.00445867645351367
0.56,0.00330395945225957,0.00786416436941448,0.00833651698837277
0.52,0.00300410657203934,0.00800309066424186,0.00649071703732782
0.48,0.00240870416811405,0.00914429827761896,0.00979065695887234
0.44,0.0015584822291749,0.00923686962083228,0.0167617087818689
0.4,0.00187949287043081,0.00865851278394242,0.0178755518762308
0.36,0.00202219264394767,0.00975675307482692,0.0112015759908558
0.32,0.0026188086032828,0.00904108019317943,0.00778263249258684
0.28,0.00257273850501475,0.00573406468875433,0.0169029922990316
0.24,0.00447024018841021,0.00831382184896015,0.00667943219512268
0.2,0.00260974848752416,0.014719495559546,0.00444728469987696
0.18,0.00139191141709924,0.0207643703469837,0.0001
0.16,0.00142877902240094,0.0226431449662101,0.0001
0.14,0.00145715638376704,0.0244707775864981,0.0001
0.12,0.0017127173697687,0.0270386692359429,0.0001
0.1,0.00232240992751844,0.0311592671987167,0.0001
0.088,0.00267126604550466,0.0341791156713645,0.0001
0.074,0.00268882824513676,0.0379170113994678,0.0001
0.06,0.00292925626326221,0.0415671897777323,0.0001
0.04,0.00317356842633803,0.0503263861228912,0.0001
