SoC,R0
1,0.0249033425988254
0.98,0.0271064572536117
0.96,0.0264791528393309
0.94,0.0260158893630533
0.92,0.0258389726105452
0.9,0.0250662073834178
0.84,0.0247836077832899
0.8,0.0260434603043577
0.76,0.0255336674902472
0.72,0.0240053462943489
0.68,0.0241122435013568
0.64,0.0252088842960755
0.6,0.0248243249008645
0.56,0.0247291560395481
0.52,0.0246895538348697
0.48,0.0258582882443227
0.44,0.0251814305092506
0.4,0.025646714424672
0.36,0.0256908695838575
0.32,0.0254692297607448
0.28,0.0258304888726016
0.24,0.026234893839771
0.2,0.0270663590044783
0.18,0.0283356308892409
0.16,0.0298671475155505
0.14,0.0311187226000374
0.12,0.0332059251821296
0.1,0.0363605456209682
0.088,0.0375971654472519
0.074,0.0402633825479847
0.06,0.0411116930321727
0.04,0.0475393206872889
