SoC,R1,R2,R3
1,318.366150436837,3806.58181438404,75287.9302045062
0.98,565.001130350143,4319.10257310204,36389.7147167632
0.96,521.986264568789,4609.13302327107,32442.6997627895
0.94,525.519247976613,4469.56524390174,34995.6446929262
0.92,530.053573262636,4182.83680815023,32636.0250193717
0.9,491.704055572194,3721.66795457,50240.0276781883
0.84,532.210365447512,3588.80197982013,26378.6206457941
0.8,847.955016653954,2999.32209705074,9942.65786380435
0.76,668.820839320409,3627.27443833475,9185.62185397626
0.72,359.682825360158,9077.51981855815,11924.3750746736
0.68,264.678358423513,5323.37051030983,29917.3247292174
0.64,783.017049058712,5602.2054480914,11354.7750197595
0.6,608.569494496707,4761.08898691365,41776.0049679643
0.56,635.477434676846,3968.19031441525,22635.98025513
0.52,701.878298189722,3464.89609470937,31362.5185405285
0.48,875.375943221402,2639.98902453289,35762.9196917637
0.44,1352.93413921759,2904.29345280962,13541.856836954
0.4,1121.85786445462,3259.28061872783,12875.8445656286
0.36,1042.6919182445,3588.75743701027,13209.4369675866
0.32,671.604756671263,3321.98649243944,27584.0830837391
0.28,804.775257851783,5079.72304555097,15308.3728885991
0.24,471.680236485286,2951.16513176499,29861.0249927304
0.2,807.941439258451,1876.78075426009,23357.2819691362
0.18,1514.83924665389,1374.48384279323,0.0001
0.16,1475.62112058385,1255.78721086349,0.0001
0.14,816.666220236546,1179.39588177843,0.0001
0.12,524.418136786569,1022.91269006671,0.0001
0.1,311.032117812289,834.91228274751,0.0001
0.088,223.743558083673,741.220092522896,0.0001
0.074,155.270907016317,620.722811906029,0.0001
0.06,113.374669794612,559.343735855046,0.0001
0.04,137.673959909881,442.604401149567,0.0001
