SoC,OCV
1,4.17429191111111
0.98,4.13429379033524
0.96,4.11251617863013
0.94,4.09975168573035
0.92,4.09122178581468
0.9,4.08418995427583
0.84,4.04493424174885
0.8,4.00085178850895
0.76,3.95792707817022
0.72,3.92286811397409
0.68,3.88793168779524
0.64,3.84372225025188
0.6,3.79177689164489
0.56,3.75066300357457
0.52,3.71279951412589
0.48,3.68034846122868
0.44,3.65180798952938
0.4,3.62309189419666
0.36,3.58715462343719
0.32,3.54724768574359
0.28,3.50118136456794
0.24,3.46752858413955
0.2,3.43818802864587
0.18,3.39832969374911
0.16,3.35363140366381
0.14,3.30374184660193
0.12,3.2471678924556
0.1,3.19121600604306
0.088,3.15913289597722
0.074,3.11875375410013
0.06,3.0694085544638
0.04,2.96510984412449
