SoC,R1,R2,R3
1,318.365265166004,3323.22334695607,15338.5842000501
0.98,565.000978610499,3247.56378948567,16322.8465498655
0.96,521.986011848534,3548.01209946267,18607.8073803144
0.94,525.51900475423,3535.34205074396,20002.0731695817
0.92,530.052912483573,3304.79915101921,18329.5973785694
0.9,491.627071445839,3157.99304604494,24776.3599608123
0.84,464.428367039274,3123.13945721515,19482.6164525709
0.8,794.539376061213,2999.32208992932,6721.60168252182
0.76,560.606484996985,3627.27441968757,6694.14536783214
0.72,319.21103539357,7098.30864410911,9753.67372777642
0.68,222.402407346585,5323.37050269251,29917.3247174795
0.64,783.017032666621,3703.62482066243,8396.12826854003
0.6,550.721224909505,4706.72408203072,16383.6913613126
0.56,598.391511405837,3541.23003393474,20004.5755945528
0.52,701.539269807604,3089.26767886203,27451.5031992908
0.48,875.363056832156,2562.68695786629,27695.3089680282
0.44,1352.93228702903,2904.29343314505,11446.9103234953
0.4,1121.85770106516,3259.28061261259,10903.5932936813
0.36,1042.69186227989,3588.75743418717,9618.08281002699
0.32,658.846111804143,3176.62243889426,16475.4244137616
0.28,804.774990300309,4607.28450944995,10380.1793483381
0.24,471.680231326852,2951.16511270196,29860.515273595
0.2,807.9413974092,1623.9668104419,23357.2817751772
0.18,1514.83899913347,1292.34714373531,0.0001
0.16,1475.61979719651,1125.79150113124,0.0001
0.14,815.905523079323,1036.15002809062,0.0001
0.12,394.352114436237,906.514420272362,0.0001
0.1,164.041479489109,717.221984382982,0.0001
0.088,96.032208261858,589.996878263503,0.0001
0.074,66.9523172739951,501.089496610534,0.0001
0.06,53.1761533925053,518.265585817883,0.0001
0.04,50.7891493020883,442.604400673792,0.0001
