SoC
1
0.98
0.96
0.94
0.92
0.9
0.84
0.8
0.76
0.72
0.68
0.64
0.6
0.56
0.52
0.48
0.44
0.4
0.36
0.32
0.28
0.24
0.2
0.18
0.16
0.14
0.12
0.1
0.088
0.074
0.06
0.04
