SoC,R1,R2,R3
1,495.696192261251,6930.9167650303,138353.379461069
0.98,661.843865808297,8508.91759051502,65669.2452591761
0.96,680.954369641631,8734.08447474798,63511.3435246822
0.94,652.85031483603,8533.63098344767,62454.1006636355
0.92,596.561534694204,8172.37900479354,54707.0794756016
0.9,525.226014350251,5969.66864856953,279630.77313912
0.84,589.766551176847,4440.73394318453,75638.6553232941
0.8,963.401953274922,3232.2077629747,43850.9439249842
0.76,881.097317208174,3789.87166356955,24352.4741879087
0.72,426.095510911392,11578.4748505287,16230.284174526
0.68,507.874030147906,5323.37052036707,29917.3247498076
0.64,853.11841364174,7414.52273210693,14402.2742618105
0.6,710.97917420126,6848.04673773483,112513.132877026
0.56,638.181043136723,4915.39959374317,92152.7899752418
0.52,701.880615314554,4385.44938605379,53945.1171993366
0.48,1025.56274809854,3829.12055430899,35762.9206294054
0.44,1352.93430465449,4242.14772125882,20889.4267466048
0.4,1121.85797002704,4627.50083355613,39672.0393850475
0.36,1042.69198268005,4108.64299439683,49928.6192247143
0.32,805.146355461191,4040.4975309547,44990.2383669506
0.28,819.564119338214,6233.11633778952,25892.9159960017
0.24,471.680267752175,5421.70430397573,52420.9965451292
0.2,807.941483408618,2461.48162977196,78731.7644468539
0.18,1514.86723388541,1884.95944487369,0.0001
0.16,1543.36864294221,1696.88683863084,0.0001
0.14,1773.41757859227,1552.18696165711,0.0001
0.12,1573.61616323673,1415.74235359002,0.0001
0.1,1148.67748748232,1251.69717683304,0.0001
0.088,978.816886375448,1152.69646494831,0.0001
0.074,943.892871795376,1046.31544263182,0.0001
0.06,862.232490784547,964.665694488302,0.0001
0.04,1074.8754641663,808.439025509095,0.0001
