SoC,R0
1,0.0222665589071529
0.98,0.0231586275883894
0.96,0.0230380273654642
0.94,0.0229194897175873
0.92,0.0227671949375174
0.9,0.0224026715967993
0.84,0.0225861794624586
0.8,0.023592999182776
0.76,0.0233093046472292
0.72,0.022408633449138
0.68,0.0225910035198471
0.64,0.0232053200534313
0.6,0.0226856375018136
0.56,0.0225029865398719
0.52,0.0228698255561926
0.48,0.0238059599903891
0.44,0.0233830832378636
0.4,0.0234148378522449
0.36,0.0235004470465617
0.32,0.0232485531357438
0.28,0.0232560085893465
0.24,0.0233858153743585
0.2,0.0240444031700707
0.18,0.0243422361508816
0.16,0.0248344411271383
0.14,0.0252644403165022
0.12,0.0258671927611515
0.1,0.0265187517907409
0.088,0.0268213035117786
0.074,0.0275969290509786
0.06,0.027947307125862
0.04,0.0306741936965059
